pair,model_a,model_b,share_ratio_pct,contextualization_share_after_merge_pct,reduction_pct,merge_type
F1-F2,finance_1,finance_2,98.88,1.34,51.01,Within-group (G1)
F1-F3,finance_1,finance_3,97.63,1.89,49.12,Within-group (G1)
F1-F4,finance_1,finance_4,95.32,2.91,48.82,Within-group (G1)
F1-F5,finance_1,finance_5,57.33,13.49,28.42,Between-group
F1-F6,finance_1,finance_6,53.19,15.46,27.28,Between-group
F1-F7,finance_1,finance_7,51.44,22.59,21.89,Between-group
F1-F8,finance_1,finance_8,50.2,22.35,21.63,Between-group
F1-F9,finance_1,finance_9,50.36,22.73,21.39,Between-group
F2-F3,finance_2,finance_3,98.74,0.78,49.34,Within-group (G1)
F2-F4,finance_2,finance_4,96.42,1.8,49.04,Within-group (G1)
F2-F5,finance_2,finance_5,58.22,12.61,28.76,Between-group
F2-F6,finance_2,finance_6,54.03,14.6,27.62,Between-group
F2-F7,finance_2,finance_7,52.26,21.98,22.19,Between-group
F2-F8,finance_2,finance_8,50.71,22.06,21.84,Between-group
F2-F9,finance_2,finance_9,50.86,22.45,21.6,Between-group
F3-F4,finance_3,finance_4,97.65,1.07,50.96,Within-group (G1)
F3-F5,finance_3,finance_5,58.46,12.43,28.63,Between-group
F3-F6,finance_3,finance_6,54.25,14.41,27.5,Between-group
F3-F7,finance_3,finance_7,52.47,21.77,22.08,Between-group
F3-F8,finance_3,finance_8,50.91,21.86,21.73,Between-group
F3-F9,finance_3,finance_9,51.07,22.24,21.5,Between-group
F4-F5,finance_4,finance_5,58.67,12.44,28.72,Between-group
F4-F6,finance_4,finance_6,54.45,14.42,27.54,Between-group
F4-F7,finance_4,finance_7,52.67,21.79,22.13,Between-group
F4-F8,finance_4,finance_8,51.12,21.87,21.78,Between-group
F4-F9,finance_4,finance_9,51.27,22.25,21.54,Between-group
F5-F6,finance_5,finance_6,91.04,4.05,46.07,Within-group (G2)
F5-F7,finance_5,finance_7,87.96,26.28,36.1,Within-group (G2)
F5-F8,finance_5,finance_8,85.52,26.4,35.45,Within-group (G2)
F5-F9,finance_5,finance_9,85.84,26.87,35.2,Within-group (G2)
F6-F7,finance_6,finance_7,88.89,27.94,40.4,Within-group (G2)
F6-F8,finance_6,finance_8,85.59,28.12,39.75,Within-group (G2)
F6-F9,finance_6,finance_9,85.68,28.54,39.5,Within-group (G2)
F7-F8,finance_7,finance_8,96.32,0.85,50.9,Within-group (G2)
F7-F9,finance_7,finance_9,94.7,2.6,50.14,Within-group (G2)
F8-F9,finance_8,finance_9,96.82,2.15,50.35,Within-group (G2)
